paper_id,in_target30,human_method,llm_consensus_method,method_match,human_direction,llm_consensus_direction,direction_match,m_level,d_level,needs_human,human_conf_method,human_conf_direction,time_spent_minutes,notes
paper_249,1,IV,IV,1,positive,positive,1,2of4_plurality,2of4_plurality,False,high,medium,33,Labeled IV because the paper explicitly uses instrumental variables for average schooling; direction positive but medium confidence because estimates are small and lower than OLS.
paper_11,1,EVENT_STUDY,,0,negative,negative,1,2of4_tie,2of4_plurality,True,high,high,37,Labeled EVENT_STUDY because the paper computes announcement-window CARs around acquisition announcements; direction negative because more antitakeover provisions lower abnormal returns.
paper_12,1,EVENT_STUDY,EVENT_STUDY,1,negative,unclear,0,all4_agree,2of4_plurality,False,high,high,25,Labeled EVENT_STUDY because the paper estimates announcement-window abnormal returns; direction negative because aggregate shareholder losses are driven by large acquirer losses despite small acquirer gains.
paper_19,1,RDD,RDD,1,positive,positive,1,3of4_agree,2of4_plurality,False,high,high,39,Labeled RDD because eligibility changes discretely at age 65 and the paper invokes smooth potential outcomes around the cutoff; direction positive because coverage improves access/utilization.
paper_28,1,EVENT_STUDY,EVENT_STUDY,1,positive,positive,1,all4_agree,3of4_agree,False,high,high,25,Labeled EVENT_STUDY because the paper studies stock prices around major event days; direction positive because public attention induced a permanent rise in share prices.
paper_34,1,RDD,,0,negative,unclear,0,2of4_tie,2of4_plurality,True,high,high,44,Labeled RDD because the design compares firms just above and below a rule cutoff; direction negative because SOX compliance reduced the market value of small firms
paper_36,1,OTHER,OTHER,1,negative,negative,1,2of4_plurality,2of4_plurality,False,high,high,33,"Randomized resume correspondence experiment; perceived race is randomly assigned through names. Not DID/Event Study/IV/RDD, so coded as OTHER."
paper_61,1,OTHER,DID,0,positive,,0,2of4_plurality,split,True,high,high,30,Cross sectional asset pricing regressions comparing sin stocks with industry comparables not DID Event Study IV or RDD so coded as OTHER. Direction is positive because sin stocks have higher expected returns than otherwise comparable stocks.
paper_176,1,OTHER,OTHER,1,mixed,unclear,0,3of4_agree,2of4_plurality,False,high,medium,32,Asset pricing time series factor regressions on stock and bond portfolio returns not DID Event Study IV or RDD so coded as OTHER. Direction is mixed because the paper studies multiple risk factors including market size book to market term and default factors rather than one treatment effect on one outcome.
paper_17,1,IV,IV,1,negative,positive,0,all4_agree,2of4_plurality,False,high,high,32,Rainfall variation is used as an instrument for economic growth so the method family is IV. Direction is negative because higher economic growth is associated with lower likelihood of civil conflict.
