label_row_id,paper_id,annotator_id,session_date,method_family,direction,supporting_sentence_method,supporting_sentence_direction,confidence_method,confidence_direction,time_spent_minutes,is_blind_relabel,original_label_row_id,notes
12,paper_126,YH,2026-05-01,OTHER,negative,"I exploit price variation at spatial discontinuities in electricity service areas, where households in the same city experience substantially different nonlinear pricing.",I find strong evidence that consumers respond to average price rather than marginal or expected marginal price.,high,high,12,False,-1,"Considered RDD boundary due to spatial discontinuities, but main design uses price variation across electricity service areas and nonlinear pricing, not a cutoff-based local RD estimate; labeled OTHER."
13,paper_138,YH,2026-05-01,OTHER,positive,we estimate the impacts of temperature and precipitation on agricultural profits [...] to infer the economic impact of climate change in this sector,The preferred estimates indicate that climate change will increase annual profits by $1.3 billion in 2002 dollars (2002$) or 4 percent.,high,high,26,False,-1,"Labeled OTHER because the main design estimates weather/climate-profit regressions and projections, not DID/Event Study/IV/RDD; direction positive because preferred estimates increase annual profits."
14,paper_142,YH,2026-05-01,IV,positive,"Therefore, I use an instrumental variables approach and instrument for crop yield with rainfall shocks (rainfall in excess of the district’s normal rainfall).",Higher productivity seems to lead to a higher wage.,high,high,32,False,-1,Labeled IV because the paper explicitly instruments crop yield with rainfall shocks; direction positive because higher productivity raises wages.
15,paper_153,YH,2026-05-01,OTHER,negative,This paper uses a randomized field experiment to examine several approaches to reducing corruption.,"reduced missing expenditures by about 8 percentage points, more than enough to make these audits cost-effective",high,high,34,False,-1,"Labeled OTHER because the main design is a randomized field experiment, outside DID/Event Study/IV/RDD; direction negative because audits reduce missing expenditures/corruption."
16,paper_160,YH,2026-05-01,IV,mixed,We estimate the model using Two Stage Least Squares (2SLS) so that equation (2) is the first stage and serves as an instrumental variable for parental education.,"We find 2SLS estimates that are consistently lower than the OLS estimates, with the only statistically significant effect being a positive relationship between mother’s education and son’s education.",high,high,36,False,-1,Labeled IV because the model is estimated by 2SLS with an instrument for parental education; direction mixed because 2SLS estimates are lower than OLS and only one relationship is significantly positive.
17,paper_183,YH,2026-05-01,OTHER,positive,CEOs have different talents and are matched to firms in a competitive assignment model.  This paper develops a simple equilibrium model of CEO pay.,Our central equation predicts that a CEO’s equilibrium pay is increasing with both the size of his firm and the size of the average firm in the economy.,high,high,34,False,-1,"Labeled OTHER because this is an equilibrium/assignment model of CEO pay, not DID/Event Study/IV/RDD; direction positive because CEO pay increases with firm size."
18,paper_194,YH,2026-05-01,OTHER,negative,We explored the determinants of state spending and quality using generalized least squares regressions weighted by the size of the Medicare population in each state.,Higher spending is associated with lower quality of care as seen in Exhibits 1–3.,high,high,44,False,-1,"Labeled OTHER because the main design uses weighted generalized least squares regressions, not DID/Event Study/IV/RDD; direction negative because higher spending is associated with lower quality."
19,paper_206,YH,2026-05-01,OTHER,positive,"using regime-switching models, we find large differences in the size of spending multipliers in recessions and expansions","our preferred estimates of the government spending multiplier are between 0 and 0.5 in expansions, and between 1 and 1.5 in recessions.",high,high,44,False,-1,"Labeled OTHER because the main design uses regime-switching multiplier models, not DID/Event Study/IV/RDD; direction positive because preferred spending multipliers are positive, especially in recessions."
20,paper_223,YH,2026-05-01,IV,positive,"To identify the causal effect of roads on traffic, we [...] exploit three instrumental variables to predict the incidence of roads in MSAs.",We find that VKT increases proportionately to highways and identify three important sources for this extra VKT,high,high,37,False,-1,Labeled IV because the paper explicitly exploits three instrumental variables for roads; direction positive because VKT increases proportionately with highways.
21,paper_249,YH,2026-05-01,IV,positive,"To solve this problem, we use instrumental variables to estimate the effect of the average schooling level in an individual’s state.","IV estimates of external returns for men aged 40-49 in 1960-1980 are typically around 1-2%, and significantly lower than the corresponding OLS estimates.",high,medium,33,False,-1,Labeled IV because the paper explicitly uses instrumental variables for average schooling; direction positive but medium confidence because estimates are small and lower than OLS.
22,paper_11,YH,2026-05-01,EVENT_STUDY,negative,"We compute 5-day cumulative abnormal returns (CARs) during the window encompassed by event days (−2, +2), where event day 0 is the acquisition announcement date",We find that acquirers with more antitakeover provisions experience significantly lower announcement-period abnormal stock returns.,high,high,37,False,-1,Labeled EVENT_STUDY because the paper computes announcement-window CARs around acquisition announcements; direction negative because more antitakeover provisions lower abnormal returns.
23,paper_12,YH,2026-05-01,EVENT_STUDY,negative,"We estimate these abnormal returns over the three-day event window (−1, +1) using market model benchmark returns with the CRSP equally-weighted index returns.",Acquisitions thus result in losses for shareholders in the aggregate because the losses incurred by large firms are much larger than the gains realized by small firms.,high,high,25,False,-1,Labeled EVENT_STUDY because the paper estimates announcement-window abnormal returns; direction negative because aggregate shareholder losses are driven by large acquirer losses despite small acquirer gains.
24,paper_19,YH,2026-05-01,RDD,positive,As in other regression discontinuity studies [...] outcomes would evolve smoothly with age in the absence of the discrete change in insurance coverage at age 65,Groups with bigger increases in coverage at 65 experience bigger reductions [...] and bigger increases in the probability of routine doctor visits,high,high,39,False,-1,Labeled RDD because eligibility changes discretely at age 65 and the paper invokes smooth potential outcomes around the cutoff; direction positive because coverage improves access/utilization.
25,paper_28,YH,2026-05-01,EVENT_STUDY,positive,"In Section II we report the stock prices of ENMD around the three major event days, in Section III we look at the prices of members of the Nasdaq Biotechnology Combined Index around these days.","Thus, enthusiastic public attention induced a permanent rise in share prices, even though no genuinely new information had been presented.",high,high,25,False,-1,Labeled EVENT_STUDY because the paper studies stock prices around major event days; direction positive because public attention induced a permanent rise in share prices.
26,paper_34,YH,2026-05-01,RDD,negative,I use a regression discontinuity design that compares the companies that were just above the rule cutoff [...] to companies that were just below the cutoff,"On net, SOX compliance reduced the market value of small firms.",high,high,44,False,-1,Labeled RDD because the design compares firms just above and below a rule cutoff; direction negative because SOX compliance reduced the market value of small firms
27,paper_36,YH,2026-05-01,OTHER,negative,"To manipulate perceived race, resumes are randomly assigned African-American- or White-sounding names.",White names receive 50 percent more callbacks for interviews.,high,high,33,False,-1,"Randomized resume correspondence experiment; perceived race is randomly assigned through names. Not DID/Event Study/IV/RDD, so coded as OTHER."
28,paper_61,YH,2026-05-01,OTHER,positive,"Sin stocks have higher expected returns than otherwise comparable stocks, consistent with being neglected by norm-constrained investors.",Sin stocks have less institutional ownership and less analyst coverage than otherwise comparable stocks.,high,high,30,False,-1,Cross sectional asset pricing regressions comparing sin stocks with industry comparables not DID Event Study IV or RDD so coded as OTHER. Direction is positive because sin stocks have higher expected returns than otherwise comparable stocks.
29,paper_176,YH,2026-05-01,OTHER,mixed,The time-series regression approach is also convenient for studying two important asset-pricing issues.,"The regressions show that stock returns are related to market stock returns, and to size and book-to-market factors in returns.",high,medium,32,False,-1,Asset pricing time series factor regressions on stock and bond portfolio returns not DID Event Study IV or RDD so coded as OTHER. Direction is mixed because the paper studies multiple risk factors including market size book to market term and default factors rather than one treatment effect on one outcome.
30,paper_17,YH,2026-05-01,IV,negative,We use rainfall variation as an instrumental variable for economic growth in 41 African countries during 1981–99.,Growth is strongly negatively related to civil conflict: a negative growth shock of five percentage points increases the likelihood of conflict by one-half the following year.,high,high,32,False,-1,Rainfall variation is used as an instrument for economic growth so the method family is IV. Direction is negative because higher economic growth is associated with lower likelihood of civil conflict.
