scenario_id,method,true_effect,true_direction,L1,L2a,L2b,estimated,rel_error,L2b_plus,err_excerpt,model,model_slug
s04,DID,0.2,positive,1,1,0,,,0,"Error in tidy(event_study_model) : could not find function ""tidy""
Calls: suppressMessages ... withCallingHandlers -> %>% -> mutate -> filter -> as.data.frame
Execution halted",Gemini,gemini-2.5-flash
s05,DID,0.18,positive,1,1,0,,,0,"Error in plm.fit(data, model, effect, random.method, random.models, random.dfcor,  : 
  0 (non-NA) cases
Calls: suppressMessages -> withCallingHandlers -> plm -> plm.fit
Execution halted",Kimi,moonshot-v1-128k
s05,DID,0.18,positive,1,1,1,0.263,0.4611,1,,Sonnet,claude-sonnet-4-20250514
s05,DID,0.18,positive,1,1,1,0.420672,1.3371,0,,GPT-4o,gpt-4o
s05,DID,0.18,positive,1,1,0,,,0,"Error in cat(""β (Treat×Post) ="", round(b, 4), "" | 95% CI ["", round(ci[1],  : 
  argument 4 (type 'list') cannot be handled by 'cat'
Calls: suppressMessages -> withCallingHandlers -> cat
Execution halt",o3,o3
s05,DID,0.18,positive,1,1,1,0.263,0.4611,1,,Opus,claude-opus-4-6
s05,DID,0.18,positive,1,1,1,0.263036,0.4613,1,,Gemini,gemini-2.5-flash
s06,DID,0.22,positive,1,1,1,,,0,,Kimi,moonshot-v1-128k
s06,DID,0.22,positive,1,1,1,0.2494,0.1336,1,,Sonnet,claude-sonnet-4-20250514
s06,DID,0.22,positive,1,1,0,,,0,"erve = .preserve)
  8. │   └─dplyr:::dplyr_row_slice.data.frame(.data, loc, preserve = .preserve)
  9. │     ├─dplyr::dplyr_reconstruct(vec_slice(data, i), data)
 10. │     │ └─dplyr:::dplyr_new_data_",GPT-4o,gpt-4o
s06,DID,0.22,positive,1,1,0,,,0,"Error: in etable(event_mod, keep = ""rel_time::"", se = ""clus...: 
Not any variable was selected, please reframe your keep/drop arguments. In
particular, to 'keep' variables using their original names (",o3,o3
s06,DID,0.22,positive,1,1,1,0.2494,0.1336,1,,Opus,claude-opus-4-6
s06,DID,0.22,positive,1,1,0,,,0,"Error: in etable(did_model, se = did_model$se, cl...:
 Argument 'se' (which has been replaced by arg. 'vcov') must be a single
 character equal to 'iid', 'normal', 'standard', 'hetero', 'white', 'hc1'",Gemini,gemini-2.5-flash
s07,DID,-0.12,negative,1,1,0,,,0,"Error in vcovHC.default(type = ""HC1"") : 
  argument ""x"" is missing, with no default
Calls: suppressMessages ... coeftest.default -> vcovHC -> vcovHC.default -> meatHC
Execution halted",Kimi,moonshot-v1-128k
s07,DID,-0.12,negative,1,1,0,,,0,"Error: in feols(y ~ treated_x_t_3 + treated_x_t_2 + treated...: 
The variables 'treated_x_t_3' and 'treated_x_t_2' are in the RHS (first
part) of the formula but not in the data set.
Maybe you meant: ",Sonnet,claude-sonnet-4-20250514
s07,DID,-0.12,negative,1,1,1,-0.1594968,0.3291,1,,GPT-4o,gpt-4o
s07,DID,-0.12,negative,1,1,0,,,0,"Error in library(did) : there is no package called ‘did’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",o3,o3
s07,DID,-0.12,negative,1,1,1,-0.0982,0.1817,1,,Opus,claude-opus-4-6
s07,DID,-0.12,negative,1,1,0,,,0,"Error in etable(did_model, se.type = ""robust"") : 
  The second element of '...' (named 'se.type') is not valid: it should be a fixest object or a list of fixest objects, it is neither.
Calls: suppress",Gemini,gemini-2.5-flash
s08,DID,-0.25,negative,1,1,0,,,0,"Error in match.arg(cluster) : 'arg' must be NULL or a character vector
Calls: suppressMessages ... vcovHC -> vcovHC.plm -> vcovG -> vcovG.plm -> match.arg
Execution halted",Kimi,moonshot-v1-128k
s08,DID,-0.25,negative,1,1,0,,,0,"Error in library(lfe) : there is no package called ‘lfe’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s08,DID,-0.25,negative,1,1,0,,,0,"Error: in feols(y ~ iperiod(treat_x_post, period) | unit_id...: 
Evaluation of the right-hand-side of the formula raises an error: 
  In iperiod(treat_x_post, period): could not find function ""iperiod",GPT-4o,gpt-4o
s08,DID,-0.25,negative,1,1,0,,,0,"Error in library(did) : there is no package called ‘did’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",o3,o3
s08,DID,-0.25,negative,1,1,1,0.0792,1.3168,0,,Opus,claude-opus-4-6
s08,DID,-0.25,negative,1,0,0,,,0,,Gemini,gemini-2.5-flash
s09,DID,0.28,positive,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'size_group' not found
Calls: suppressMessages ... model.frame.Formula -> model.frame -> model.frame.default -> eval -> eval
Execution halted",Kimi,moonshot-v1-128k
s09,DID,0.28,positive,1,1,1,0.2975,0.0625,1,,Sonnet,claude-sonnet-4-20250514
s09,DID,0.28,positive,1,1,1,0.491504,0.7554,0,,GPT-4o,gpt-4o
s09,DID,0.28,positive,1,1,1,0.2975003,0.0625,1,,o3,o3
s09,DID,0.28,positive,1,1,1,-0.1624483,1.5802,0,,Opus,claude-opus-4-6
s09,DID,0.28,positive,1,0,0,,,0,,Gemini,gemini-2.5-flash
s10,DID,0.35,positive,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'announce' not found
Calls: suppressMessages ... model.frame.Formula -> model.frame -> model.frame.default -> eval -> eval
Execution halted",Kimi,moonshot-v1-128k
s10,DID,0.35,positive,1,1,0,,,0,"Error: in feols(y ~ treat_x_announce + treat_x_post | unit_...: 
The variable 'treat_x_announce' is in the RHS (first part) of the formula
but not in the data set.
Maybe you meant: `treat_x_period_1`,",Sonnet,claude-sonnet-4-20250514
s10,DID,0.35,positive,1,1,1,0.57994117,0.657,0,,GPT-4o,gpt-4o
s10,DID,0.35,positive,1,1,1,0.3908,0.1166,1,,o3,o3
s10,DID,0.35,positive,1,1,1,0.3908,0.1166,1,,Opus,claude-opus-4-6
s10,DID,0.35,positive,1,0,0,,,0,,Gemini,gemini-2.5-flash
s11,EVENT_STUDY,-0.02,negative,1,1,0,,,0,"pected_ret = beta * mkt_ret, abnormal_ret = ret - expected_ret)
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",Kimi,moonshot-v1-128k
s11,EVENT_STUDY,-0.02,negative,1,1,1,-0.0397,0.985,0,,Sonnet,claude-sonnet-4-20250514
s11,EVENT_STUDY,-0.02,negative,1,1,0,,,0,"  4. ├─dplyr::mutate(...)
  5. ├─dplyr:::mutate.data.frame(...)
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",GPT-4o,gpt-4o
s11,EVENT_STUDY,-0.02,negative,1,1,0,,,0,"Error in setnames(estimates, c(""term"", ""estimate""), c(""param"", ""value"")) : 
  Items of 'old' not found in column names: [term]. Consider skip_absent=TRUE.
Calls: suppressMessages ... withCallingHandle",o3,o3
s11,EVENT_STUDY,-0.02,negative,1,1,1,-0.035803,0.7902,0,,Opus,claude-opus-4-6
s11,EVENT_STUDY,-0.02,negative,1,1,1,-1.0,49.0,0,,Gemini,gemini-2.5-flash
s12,EVENT_STUDY,-0.025,negative,1,1,0,,,0,"Error in UseMethod(""estfun"") : 
  no applicable method for 'estfun' applied to an object of class ""formula""
Calls: suppressMessages ... NeweyWest -> vcovHAC -> vcovHAC.default -> meatHAC -> estfun
Exe",Kimi,moonshot-v1-128k
s12,EVENT_STUDY,-0.025,negative,1,1,1,1.0,41.0,0,,Sonnet,claude-sonnet-4-20250514
s12,EVENT_STUDY,-0.025,negative,1,1,1,1.0,41.0,0,,GPT-4o,gpt-4o
s12,EVENT_STUDY,-0.025,negative,1,1,1,-0.0485,0.94,0,,o3,o3
s12,EVENT_STUDY,-0.025,negative,1,1,1,-0.1947,6.788,0,,Opus,claude-opus-4-6
s12,EVENT_STUDY,-0.025,negative,1,0,0,,,0,,Gemini,gemini-2.5-flash
s13,EVENT_STUDY,-0.018,negative,1,1,1,-0.03288083,0.8267,0,,Kimi,moonshot-v1-128k
s13,EVENT_STUDY,-0.018,negative,1,1,1,-0.051197,1.8443,0,,Sonnet,claude-sonnet-4-20250514
s13,EVENT_STUDY,-0.018,negative,1,1,1,-0.0328808284675,0.8267,0,,GPT-4o,gpt-4o
s13,EVENT_STUDY,-0.018,negative,1,1,1,-1.0,54.5556,0,,o3,o3
s13,EVENT_STUDY,-0.018,negative,1,1,1,-1.0,54.5556,0,,Opus,claude-opus-4-6
s13,EVENT_STUDY,-0.018,negative,1,0,0,,,0,,Gemini,gemini-2.5-flash
s14,EVENT_STUDY,0.022,positive,1,1,1,1.0,44.4545,0,,Kimi,moonshot-v1-128k
s14,EVENT_STUDY,0.022,positive,1,1,1,0.0665,2.0227,0,,Sonnet,claude-sonnet-4-20250514
s14,EVENT_STUDY,0.022,positive,1,1,1,0.06113154,1.7787,0,,GPT-4o,gpt-4o
s14,EVENT_STUDY,0.022,positive,1,1,1,0.0665,2.0227,0,,o3,o3
s14,EVENT_STUDY,0.022,positive,1,1,1,0.3943,16.9227,0,,Opus,claude-opus-4-6
s14,EVENT_STUDY,0.022,positive,1,0,0,,,0,,Gemini,gemini-2.5-flash
s15,EVENT_STUDY,0.03,positive,1,1,0,,,0,"Error in bptest(lm(aar$mean_AR ~ 1), data = aar) : 
  the auxiliary variance regression requires at least an intercept and a regressor
Calls: suppressMessages -> withCallingHandlers -> bptest
Executio",Kimi,moonshot-v1-128k
s15,EVENT_STUDY,0.03,positive,1,1,1,0.1196,2.9867,0,,Sonnet,claude-sonnet-4-20250514
s15,EVENT_STUDY,0.03,positive,1,1,0,,,0,"  4. ├─dplyr::mutate(...)
  5. ├─dplyr:::mutate.data.frame(...)
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",GPT-4o,gpt-4o
s15,EVENT_STUDY,0.03,positive,1,1,0,,,0,"::mutate.data.frame(., ab_ret = ret - (alpha + beta * mkt_ret))
 10. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
 11. │   ├─base::withCallingHandlers(...)
 12. │   └─dplyr:::mutate_col(dot",o3,o3
s15,EVENT_STUDY,0.03,positive,1,1,1,-0.0056,1.1867,0,,Opus,claude-opus-4-6
s15,EVENT_STUDY,0.03,positive,1,0,0,,,0,,Gemini,gemini-2.5-flash
s16,EVENT_STUDY,-0.028,negative,1,1,0,,,0,"Error in library(quantmod) : there is no package called ‘quantmod’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Kimi,moonshot-v1-128k
s16,EVENT_STUDY,-0.028,negative,1,1,1,-0.1063,2.7964,0,,Sonnet,claude-sonnet-4-20250514
s16,EVENT_STUDY,-0.028,negative,1,1,1,0.04736,2.6914,0,,GPT-4o,gpt-4o
s16,EVENT_STUDY,-0.028,negative,1,1,0,,,0,"Error in withCallingHandlers(expr, message = function(c) if (inherits(c,  : 
  No chip-dependency variable found in the dataset.
Calls: suppressMessages -> withCallingHandlers
Execution halted",o3,o3
s16,EVENT_STUDY,-0.028,negative,1,1,1,-0.161988,4.7853,0,,Opus,claude-opus-4-6
s16,EVENT_STUDY,-0.028,negative,1,0,0,,,0,,Gemini,gemini-2.5-flash
s17,EVENT_STUDY,-0.035,negative,1,1,0,,,0,"base::withCallingHandlers(...)
  9. │   └─dplyr:::map(quosures, summarise_eval_one, mask = mask)
 10. │     └─base::lapply(.x, .f, ...)
 11. │       └─dplyr (local) FUN(X[[i]], ...)
 12. │         └─m",Kimi,moonshot-v1-128k
s17,EVENT_STUDY,-0.035,negative,1,1,1,-0.0716,1.0457,0,,Sonnet,claude-sonnet-4-20250514
s17,EVENT_STUDY,-0.035,negative,1,1,0,,,0,"lyr:::mutate.data.frame(., AR = ret - (alpha + beta * mkt_ret))
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",GPT-4o,gpt-4o
s17,EVENT_STUDY,-0.035,negative,1,1,0,,,0,"Error in `distinct()`:
! Must use existing variables.
✖ `fine_ratio` not found in `.data`.
Backtrace:
    ▆
 1. ├─base::suppressMessages(...)
 2. │ └─base::withCallingHandlers(...)
 3. ├─dt %>% distin",o3,o3
s17,EVENT_STUDY,-0.035,negative,1,1,1,-0.071573,1.0449,0,,Opus,claude-opus-4-6
s17,EVENT_STUDY,-0.035,negative,1,0,0,,,0,,Gemini,gemini-2.5-flash
s18,EVENT_STUDY,-0.015,negative,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'eps_surprise' not found
Calls: suppressMessages ... model.frame.Formula -> model.frame -> model.frame.default -> eval -> eval
Execution halted",Kimi,moonshot-v1-128k
s18,EVENT_STUDY,-0.015,negative,1,1,1,-1.0,65.6667,0,,Sonnet,claude-sonnet-4-20250514
s18,EVENT_STUDY,-0.015,negative,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'eps_surprise' not found
Calls: suppressMessages ... eval -> <Anonymous> -> model.frame.default -> eval -> eval
Execution halted",GPT-4o,gpt-4o
s18,EVENT_STUDY,-0.015,negative,1,1,0,,,0,"Error in withCallingHandlers(expr, message = function(c) if (inherits(c,  : 
  Column `eps_surprise` is not in the data. Analysis cannot proceed.
Calls: suppressMessages -> withCallingHandlers
Executi",o3,o3
s18,EVENT_STUDY,-0.015,negative,1,1,0,,,0,"Error in eval(jsub, SDenv, parent.frame()) : object 'mean_ar' not found
Calls: suppressMessages ... withCallingHandlers -> [ -> [.data.table -> eval -> eval
Execution halted",Opus,claude-opus-4-6
s18,EVENT_STUDY,-0.015,negative,1,0,0,,,0,,Gemini,gemini-2.5-flash
s19,IV,0.4,positive,1,1,1,0.21798,0.4551,1,,Kimi,moonshot-v1-128k
s19,IV,0.4,positive,1,1,0,,,0,"Error in library(stargazer) : there is no package called ‘stargazer’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s19,IV,0.4,positive,1,1,1,,,0,,GPT-4o,gpt-4o
s19,IV,0.4,positive,1,1,0,,,0,"Error in cd$diagnostics[""weak instruments"", ""statistic""] : 
  subscript out of bounds
Calls: suppressMessages -> withCallingHandlers -> cat
Execution halted",o3,o3
s19,IV,0.4,positive,1,1,1,0.2175,0.4563,1,,Opus,claude-opus-4-6
s19,IV,0.4,positive,1,1,1,0.21752,0.4562,1,,Gemini,gemini-2.5-flash
s20,IV,0.4,positive,1,1,0,,,0,"Error in feols(y ~ x + controls | 0 | z, data = data) : 
  could not find function ""feols""
Calls: suppressMessages -> withCallingHandlers
Execution halted",Kimi,moonshot-v1-128k
s20,IV,0.4,positive,1,1,0,,,0,"Error in library(stargazer) : there is no package called ‘stargazer’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s20,IV,0.4,positive,1,1,0,,,0,"Error in hausman.iv(y ~ x + controls | z + controls, ivreg = iv_model) : 
  could not find function ""hausman.iv""
Calls: suppressMessages -> withCallingHandlers
Execution halted",GPT-4o,gpt-4o
s20,IV,0.4,positive,1,1,1,,,0,,o3,o3
s20,IV,0.4,positive,1,1,1,0.4967308,0.2418,1,,Opus,claude-opus-4-6
s20,IV,0.4,positive,1,1,0,,,0,"Error in round(weak_instrument_stat, 2) : 
  non-numeric argument to mathematical function
Calls: suppressMessages -> withCallingHandlers -> print -> paste
Execution halted",Gemini,gemini-2.5-flash
s21,IV,-0.15,negative,1,1,1,,,0,,Kimi,moonshot-v1-128k
s21,IV,-0.15,negative,1,1,0,,,0,"Error in library(stargazer) : there is no package called ‘stargazer’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s21,IV,-0.15,negative,1,1,1,-0.161703,0.078,1,,GPT-4o,gpt-4o
s21,IV,-0.15,negative,1,1,0,,,0,"Error in `$<-.data.frame`(`*tmp*`, z_num, value = numeric(0)) : 
  replacement has 0 rows, data has 500
Calls: suppressMessages -> withCallingHandlers -> $<- -> $<-.data.frame
Execution halted",o3,o3
s21,IV,-0.15,negative,1,1,1,-0.209,0.3933,1,,Opus,claude-opus-4-6
s21,IV,-0.15,negative,1,1,0,,,0,"Error in vcovHC(first_stage_model, type = ""HC1"") : 
  could not find function ""vcovHC""
Calls: suppressMessages ... withCallingHandlers -> coeftest -> coeftest.default
Execution halted",Gemini,gemini-2.5-flash
s22,IV,0.4,positive,1,1,1,1.148109,1.8703,0,,Kimi,moonshot-v1-128k
s22,IV,0.4,positive,1,1,0,,,0,"Error in library(stargazer) : there is no package called ‘stargazer’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s22,IV,0.4,positive,1,1,1,0.4566631,0.1417,1,,GPT-4o,gpt-4o
s22,IV,0.4,positive,1,1,0,,,0,"Error in linearHypothesis(iv_mod, ""x = 0"", test = ""F"", vcov. = vcovHC(iv_mod,  : 
  could not find function ""linearHypothesis""
Calls: suppressMessages -> withCallingHandlers
Execution halted",o3,o3
s22,IV,0.4,positive,1,1,1,0.8415,1.1038,0,,Opus,claude-opus-4-6
s22,IV,0.4,positive,1,1,1,1.14811,1.8703,0,,Gemini,gemini-2.5-flash
s23,IV,0.4,positive,1,1,0,,,0,"Error: object 'saragan_test' not found
Execution halted",Kimi,moonshot-v1-128k
s23,IV,0.4,positive,1,1,0,,,0,"Error in library(stargazer) : there is no package called ‘stargazer’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s23,IV,0.4,positive,1,1,1,0.07107621,0.8223,0,,GPT-4o,gpt-4o
s23,IV,0.4,positive,1,1,1,0.193716,0.5157,0,,o3,o3
s23,IV,0.4,positive,1,1,1,0.1937,0.5158,0,,Opus,claude-opus-4-6
s23,IV,0.4,positive,1,0,0,,,0,,Gemini,gemini-2.5-flash
s24,IV,-0.3,negative,1,1,0,,,0,"Error in pdata.frame(data, index = c(""id"", ""time"")) : 
  variable 'id' does not exist (individual index)
Calls: suppressMessages -> withCallingHandlers -> pdata.frame
Execution halted",Kimi,moonshot-v1-128k
s24,IV,-0.3,negative,1,1,0,,,0,"Error in library(stargazer) : there is no package called ‘stargazer’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s24,IV,-0.3,negative,1,1,1,-0.23283,0.2239,1,,GPT-4o,gpt-4o
s24,IV,-0.3,negative,1,1,1,0.383672,2.2789,0,,o3,o3
s24,IV,-0.3,negative,1,1,1,0.3837,2.279,0,,Opus,claude-opus-4-6
s24,IV,-0.3,negative,1,1,1,0.38367,2.2789,0,,Gemini,gemini-2.5-flash
s25,RDD,0.25,positive,1,1,0,,,0,"Error in rdrobust(y ~ running_var | treated, data = data, h = 0.3, kernel = ""triangular"",  : 
  unused arguments (data = data, degree = 1)
Calls: suppressMessages -> withCallingHandlers
Execution halt",Kimi,moonshot-v1-128k
s25,RDD,0.25,positive,1,1,0,,,0,"Error in round(pvalue, 4) : non-numeric argument to mathematical function
Calls: suppressMessages -> withCallingHandlers -> cat
Execution halted",Sonnet,claude-sonnet-4-20250514
s25,RDD,0.25,positive,1,1,1,1.0,3.0,0,,GPT-4o,gpt-4o
s25,RDD,0.25,positive,1,1,1,0.2973277,0.1893,1,,o3,o3
s25,RDD,0.25,positive,1,1,1,0.2973,0.1892,1,,Opus,claude-opus-4-6
s25,RDD,0.25,positive,1,1,0,,,0,"Error in contrib.url(repos, ""source"") : 
  trying to use CRAN without setting a mirror
Calls: suppressMessages ... withCallingHandlers -> install.packages -> contrib.url
Execution halted",Gemini,gemini-2.5-flash
s26,RDD,0.25,positive,1,1,0,,,0,"Error in rdrobust(y ~ running_var, data = data, c = 0.5, h = 0.3, kernel = ""gaussian"",  : 
  unused arguments (data = data, degree = 2, biasadj = TRUE)
Calls: suppressMessages -> withCallingHandlers
E",Kimi,moonshot-v1-128k
s26,RDD,0.25,positive,1,1,1,0.2188,0.1248,1,,Sonnet,claude-sonnet-4-20250514
s26,RDD,0.25,positive,1,1,1,1.0,3.0,0,,GPT-4o,gpt-4o
s26,RDD,0.25,positive,1,1,0,,,0,"Error in rd_main$coef[1, 2] : subscript out of bounds
Calls: suppressMessages -> withCallingHandlers
Execution halted",o3,o3
s26,RDD,0.25,positive,1,1,1,0.1976572,0.2094,1,,Opus,claude-opus-4-6
s26,RDD,0.25,positive,1,1,0,,,0,"Error in rdplot(y = data$y, x = data$running_var, c = cutoff, title = ""RDD Plot: College Enrollment by Test Score"",  : 
  unused arguments (xlabel = ""Standardized Test Score"", ylabel = ""College Enroll",Gemini,gemini-2.5-flash
s27,RDD,0.25,positive,1,1,0,,,0,"Error in rddensityplot(data$running_var, data$treated, c = 0.5, h = 0.05) : 
  could not find function ""rddensityplot""
Calls: suppressMessages -> withCallingHandlers
Execution halted",Kimi,moonshot-v1-128k
s27,RDD,0.25,positive,1,1,0,,,0,"Error in matrix(NA, n_B, o_B + 1) : 
  invalid 'nrow' value (too large or NA)
Calls: suppressMessages ... withCallingHandlers -> rdrobust -> rdrobust_bw -> matrix
Execution halted",Sonnet,claude-sonnet-4-20250514
s27,RDD,0.25,positive,1,1,0,,,0,"Error in library(rdd) : there is no package called ‘rdd’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",GPT-4o,gpt-4o
s27,RDD,0.25,positive,1,1,0,,,0,"Error in rd_main$Estimate[1, ""coef""] : subscript out of bounds
Calls: suppressMessages -> withCallingHandlers
Execution halted",o3,o3
s27,RDD,0.25,positive,1,1,1,0.1847,0.2612,1,,Opus,claude-opus-4-6
s27,RDD,0.25,positive,1,1,0,,,0,"Error in rddensity(X = running_var, c = cutoff) : 
  could not find function ""rddensity""
Calls: suppressMessages -> withCallingHandlers
Execution halted",Gemini,gemini-2.5-flash
s28,RDD,-0.25,negative,1,1,1,,,0,,Kimi,moonshot-v1-128k
s28,RDD,-0.25,negative,1,1,1,1.0,5.0,0,,Sonnet,claude-sonnet-4-20250514
s28,RDD,-0.25,negative,1,1,1,1.0,5.0,0,,GPT-4o,gpt-4o
s28,RDD,-0.25,negative,1,1,0,,,0,"Error in r_main$Estimate[1, ""tau_BC""] : subscript out of bounds
Calls: suppressMessages -> withCallingHandlers
Execution halted",o3,o3
s28,RDD,-0.25,negative,1,1,1,-0.2535,0.014,1,,Opus,claude-opus-4-6
s28,RDD,-0.25,negative,1,0,0,,,0,,Gemini,gemini-2.5-flash
s29,RDD,0.25,positive,1,1,0,,,0,"Error in loadNamespace(x) : there is no package called ‘rdd’
Calls: suppressMessages ... loadNamespace -> withRestarts -> withOneRestart -> doWithOneRestart
Execution halted",Kimi,moonshot-v1-128k
s29,RDD,0.25,positive,1,1,0,,,0,"Error in library(rdd) : there is no package called ‘rdd’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s29,RDD,0.25,positive,1,1,1,0.3442678,0.3771,1,,GPT-4o,gpt-4o
s29,RDD,0.25,positive,1,1,1,0.3443,0.3772,1,,o3,o3
s29,RDD,0.25,positive,1,0,0,,,0,,Opus,claude-opus-4-6
s29,RDD,0.25,positive,1,0,0,,,0,,Gemini,gemini-2.5-flash
s30,RDD,0.25,positive,1,1,0,,,0,"Error in rdrobust(data$running_var, data$treated, data$y, c = 0.75, h = 0.1,  : 
  unused arguments (degree = 1, bias = TRUE)
Calls: suppressMessages -> withCallingHandlers
Execution halted",Kimi,moonshot-v1-128k
s30,RDD,0.25,positive,1,1,1,0.2212,0.1152,1,,Sonnet,claude-sonnet-4-20250514
s30,RDD,0.25,positive,1,1,1,0.31995,0.2798,1,,GPT-4o,gpt-4o
s30,RDD,0.25,positive,1,1,1,,,0,,o3,o3
s30,RDD,0.25,positive,1,1,0,,,0,"Error in matrix(NA, n_B, o_B + 1) : 
  invalid 'nrow' value (too large or NA)
Calls: suppressMessages ... withCallingHandlers -> rdrobust -> rdrobust_bw -> matrix
Execution halted",Opus,claude-opus-4-6
s30,RDD,0.25,positive,1,1,0,,,0,"Error in rdrobust(y = Y, x = R, c = 0, fuzzy = D, instrument = W) : 
  unused argument (instrument = W)
Calls: suppressMessages -> withCallingHandlers
Execution halted",Gemini,gemini-2.5-flash
s31,DID,-0.3,negative,1,1,1,0.115008,1.3834,0,,Kimi,moonshot-v1-128k
