scenario_id,method,dgp_effect,dgp_direction,true_effect,true_direction,baseline,baseline_effect,baseline_direction,baseline_source,baseline_available,canonical_status,L1,L2a,L2b,estimated,rel_error,L2b_plus,err_excerpt,model,model_slug
s03,DID,0.25,positive,0.284571,positive,canonical,0.284571,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'event_time' not found
Calls: suppressMessages ... model.frame.Formula -> model.frame -> model.frame.default -> eval -> eval
Execution halted",Kimi,moonshot-v1-128k
s03,DID,0.25,positive,0.284571,positive,canonical,0.284571,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in summary(trend_test)$coefficients[""treated:period"", ] : 
  incorrect number of dimensions
Calls: suppressMessages -> withCallingHandlers -> print
Execution halted",Sonnet,claude-sonnet-4-20250514
s03,DID,0.25,positive,0.284571,positive,canonical,0.284571,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.48904,0.7185,0,,GPT-4o,gpt-4o
s03,DID,0.25,positive,0.284571,positive,canonical,0.284571,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in grepl(var2keep, vect2check, perl = TRUE) : 
  invalid regular expression 'rel_year::[-3:-1]'
Calls: suppressMessages ... etable -> etable_internal_df -> keep_apply -> grepl
Execution halted",o3,o3
s03,DID,0.25,positive,0.284571,positive,canonical,0.284571,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.2845713,0.0,1,,Opus,claude-opus-4-6
s03,DID,0.25,positive,0.284571,positive,canonical,0.284571,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.2846,0.0001,1,,Gemini,gemini-2.5-flash
s03,DID,0.25,positive,0.284571,positive,canonical,0.284571,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.2846,0.0001,1,,GPT-5,gpt-5
s04,DID,0.2,positive,0.105831,positive,canonical,0.105831,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.524496,3.956,0,,Kimi,moonshot-v1-128k
s04,DID,0.2,positive,0.105831,positive,canonical,0.105831,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.1058,0.0003,1,,Sonnet,claude-sonnet-4-20250514
s04,DID,0.2,positive,0.105831,positive,canonical,0.105831,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.105831,0.0,1,,GPT-4o,gpt-4o
s04,DID,0.2,positive,0.105831,positive,canonical,0.105831,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error: in feols(y ~ sunab(first_treat_period, period) | uni...: 
All variables, 'period::-4:cohort::5', 'period::-3:cohort::5' and 5 others,
are collinear with the fixed effects. Without doubt, your m",o3,o3
s04,DID,0.2,positive,0.105831,positive,canonical,0.105831,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.1058,0.0003,1,,Opus,claude-opus-4-6
s04,DID,0.2,positive,0.105831,positive,canonical,0.105831,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in tidy(event_study_model) : could not find function ""tidy""
Calls: suppressMessages ... withCallingHandlers -> %>% -> mutate -> filter -> as.data.frame
Execution halted",Gemini,gemini-2.5-flash
s04,DID,0.2,positive,0.105831,positive,canonical,0.105831,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.105831,0.0,1,,GPT-5,gpt-5
s05,DID,0.18,positive,0.263036,positive,canonical,0.263036,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in plm.fit(data, model, effect, random.method, random.models, random.dfcor,  : 
  0 (non-NA) cases
Calls: suppressMessages -> withCallingHandlers -> plm -> plm.fit
Execution halted",Kimi,moonshot-v1-128k
s05,DID,0.18,positive,0.263036,positive,canonical,0.263036,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.263,0.0001,1,,Sonnet,claude-sonnet-4-20250514
s05,DID,0.18,positive,0.263036,positive,canonical,0.263036,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.420672,0.5993,0,,GPT-4o,gpt-4o
s05,DID,0.18,positive,0.263036,positive,canonical,0.263036,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in cat(""β (Treat×Post) ="", round(b, 4), "" | 95% CI ["", round(ci[1],  : 
  argument 4 (type 'list') cannot be handled by 'cat'
Calls: suppressMessages -> withCallingHandlers -> cat
Execution halt",o3,o3
s05,DID,0.18,positive,0.263036,positive,canonical,0.263036,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.263,0.0001,1,,Opus,claude-opus-4-6
s05,DID,0.18,positive,0.263036,positive,canonical,0.263036,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.263036,0.0,1,,Gemini,gemini-2.5-flash
s05,DID,0.18,positive,0.263036,positive,canonical,0.263036,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.263,0.0001,1,,GPT-5,gpt-5
s06,DID,0.22,positive,0.249357,positive,canonical,0.249357,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,,,0,,Kimi,moonshot-v1-128k
s06,DID,0.22,positive,0.249357,positive,canonical,0.249357,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.2494,0.0002,1,,Sonnet,claude-sonnet-4-20250514
s06,DID,0.22,positive,0.249357,positive,canonical,0.249357,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"erve = .preserve)
  8. │   └─dplyr:::dplyr_row_slice.data.frame(.data, loc, preserve = .preserve)
  9. │     ├─dplyr::dplyr_reconstruct(vec_slice(data, i), data)
 10. │     │ └─dplyr:::dplyr_new_data_",GPT-4o,gpt-4o
s06,DID,0.22,positive,0.249357,positive,canonical,0.249357,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error: in etable(event_mod, keep = ""rel_time::"", se = ""clus...: 
Not any variable was selected, please reframe your keep/drop arguments. In
particular, to 'keep' variables using their original names (",o3,o3
s06,DID,0.22,positive,0.249357,positive,canonical,0.249357,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.2494,0.0002,1,,Opus,claude-opus-4-6
s06,DID,0.22,positive,0.249357,positive,canonical,0.249357,positive,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error: in etable(did_model, se = did_model$se, cl...:
 Argument 'se' (which has been replaced by arg. 'vcov') must be a single
 character equal to 'iid', 'normal', 'standard', 'hetero', 'white', 'hc1'",Gemini,gemini-2.5-flash
s06,DID,0.22,positive,0.249357,positive,canonical,0.249357,positive,audit/dgp_verification.json,1,FLAGGED,1,1,1,,,0,,GPT-5,gpt-5
s07,DID,-0.12,negative,-0.159497,negative,canonical,-0.159497,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in vcovHC.default(type = ""HC1"") : 
  argument ""x"" is missing, with no default
Calls: suppressMessages ... coeftest.default -> vcovHC -> vcovHC.default -> meatHC
Execution halted",Kimi,moonshot-v1-128k
s07,DID,-0.12,negative,-0.159497,negative,canonical,-0.159497,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error: in feols(y ~ treated_x_t_3 + treated_x_t_2 + treated...: 
The variables 'treated_x_t_3' and 'treated_x_t_2' are in the RHS (first
part) of the formula but not in the data set.
Maybe you meant: ",Sonnet,claude-sonnet-4-20250514
s07,DID,-0.12,negative,-0.159497,negative,canonical,-0.159497,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.1594968,0.0,1,,GPT-4o,gpt-4o
s07,DID,-0.12,negative,-0.159497,negative,canonical,-0.159497,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in library(did) : there is no package called ‘did’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",o3,o3
s07,DID,-0.12,negative,-0.159497,negative,canonical,-0.159497,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.0982,0.3843,1,,Opus,claude-opus-4-6
s07,DID,-0.12,negative,-0.159497,negative,canonical,-0.159497,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in etable(did_model, se.type = ""robust"") : 
  The second element of '...' (named 'se.type') is not valid: it should be a fixest object or a list of fixest objects, it is neither.
Calls: suppress",Gemini,gemini-2.5-flash
s07,DID,-0.12,negative,-0.159497,negative,canonical,-0.159497,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.1595,0.0,1,,GPT-5,gpt-5
s08,DID,-0.25,negative,-0.304917,negative,canonical,-0.304917,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in match.arg(cluster) : 'arg' must be NULL or a character vector
Calls: suppressMessages ... vcovHC -> vcovHC.plm -> vcovG -> vcovG.plm -> match.arg
Execution halted",Kimi,moonshot-v1-128k
s08,DID,-0.25,negative,-0.304917,negative,canonical,-0.304917,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in library(lfe) : there is no package called ‘lfe’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Sonnet,claude-sonnet-4-20250514
s08,DID,-0.25,negative,-0.304917,negative,canonical,-0.304917,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error: in feols(y ~ iperiod(treat_x_post, period) | unit_id...: 
Evaluation of the right-hand-side of the formula raises an error: 
  In iperiod(treat_x_post, period): could not find function ""iperiod",GPT-4o,gpt-4o
s08,DID,-0.25,negative,-0.304917,negative,canonical,-0.304917,negative,audit/dgp_verification.json,1,FLAGGED,1,1,0,,,0,"Error in library(did) : there is no package called ‘did’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",o3,o3
s08,DID,-0.25,negative,-0.304917,negative,canonical,-0.304917,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,0.0792,1.2597,0,,Opus,claude-opus-4-6
s08,DID,-0.25,negative,-0.304917,negative,canonical,-0.304917,negative,audit/dgp_verification.json,1,FLAGGED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s08,DID,-0.25,negative,-0.304917,negative,canonical,-0.304917,negative,audit/dgp_verification.json,1,FLAGGED,1,1,1,-0.3049,0.0001,1,,GPT-5,gpt-5
s09,DID,0.28,positive,0.2975,positive,canonical,0.2975,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'size_group' not found
Calls: suppressMessages ... model.frame.Formula -> model.frame -> model.frame.default -> eval -> eval
Execution halted",Kimi,moonshot-v1-128k
s09,DID,0.28,positive,0.2975,positive,canonical,0.2975,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.2975,0.0,1,,Sonnet,claude-sonnet-4-20250514
s09,DID,0.28,positive,0.2975,positive,canonical,0.2975,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.491504,0.6521,0,,GPT-4o,gpt-4o
s09,DID,0.28,positive,0.2975,positive,canonical,0.2975,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.2975003,0.0,1,,o3,o3
s09,DID,0.28,positive,0.2975,positive,canonical,0.2975,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.1624483,1.546,0,,Opus,claude-opus-4-6
s09,DID,0.28,positive,0.2975,positive,canonical,0.2975,positive,audit/dgp_verification.json,1,VERIFIED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s09,DID,0.28,positive,0.2975,positive,canonical,0.2975,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.2975,0.0,1,,GPT-5,gpt-5
s10,DID,0.35,positive,0.369059,positive,canonical,0.369059,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in eval(predvars, data, env) : object 'announce' not found
Calls: suppressMessages ... model.frame.Formula -> model.frame -> model.frame.default -> eval -> eval
Execution halted",Kimi,moonshot-v1-128k
s10,DID,0.35,positive,0.369059,positive,canonical,0.369059,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error: in feols(y ~ treat_x_announce + treat_x_post | unit_...: 
The variable 'treat_x_announce' is in the RHS (first part) of the formula
but not in the data set.
Maybe you meant: `treat_x_period_1`,",Sonnet,claude-sonnet-4-20250514
s10,DID,0.35,positive,0.369059,positive,canonical,0.369059,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.57994117,0.5714,0,,GPT-4o,gpt-4o
s10,DID,0.35,positive,0.369059,positive,canonical,0.369059,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.3908,0.0589,1,,o3,o3
s10,DID,0.35,positive,0.369059,positive,canonical,0.369059,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.3908,0.0589,1,,Opus,claude-opus-4-6
s10,DID,0.35,positive,0.369059,positive,canonical,0.369059,positive,audit/dgp_verification.json,1,VERIFIED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s10,DID,0.35,positive,0.369059,positive,canonical,0.369059,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error: in feols(y ~ treat_x_announce + treat_x_post | unit_...: 
All observations are fixed-effects singletons. The estimation cannot be
done.
Execution halted",GPT-5,gpt-5
s11,EVENT_STUDY,-0.02,negative,-0.020114,negative,canonical,-0.020114,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"pected_ret = beta * mkt_ret, abnormal_ret = ret - expected_ret)
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",Kimi,moonshot-v1-128k
s11,EVENT_STUDY,-0.02,negative,-0.020114,negative,canonical,-0.020114,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.0397,0.9737,0,,Sonnet,claude-sonnet-4-20250514
s11,EVENT_STUDY,-0.02,negative,-0.020114,negative,canonical,-0.020114,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"  4. ├─dplyr::mutate(...)
  5. ├─dplyr:::mutate.data.frame(...)
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",GPT-4o,gpt-4o
s11,EVENT_STUDY,-0.02,negative,-0.020114,negative,canonical,-0.020114,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in setnames(estimates, c(""term"", ""estimate""), c(""param"", ""value"")) : 
  Items of 'old' not found in column names: [term]. Consider skip_absent=TRUE.
Calls: suppressMessages ... withCallingHandle",o3,o3
s11,EVENT_STUDY,-0.02,negative,-0.020114,negative,canonical,-0.020114,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.035803,0.78,0,,Opus,claude-opus-4-6
s11,EVENT_STUDY,-0.02,negative,-0.020114,negative,canonical,-0.020114,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-1.0,48.7166,0,,Gemini,gemini-2.5-flash
s11,EVENT_STUDY,-0.02,negative,-0.020114,negative,canonical,-0.020114,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.04099,1.0379,0,,GPT-5,gpt-5
s12,EVENT_STUDY,-0.025,negative,-0.02601,negative,canonical,-0.02601,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in UseMethod(""estfun"") : 
  no applicable method for 'estfun' applied to an object of class ""formula""
Calls: suppressMessages ... NeweyWest -> vcovHAC -> vcovHAC.default -> meatHAC -> estfun
Exe",Kimi,moonshot-v1-128k
s12,EVENT_STUDY,-0.025,negative,-0.02601,negative,canonical,-0.02601,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,1.0,39.4468,0,,Sonnet,claude-sonnet-4-20250514
s12,EVENT_STUDY,-0.025,negative,-0.02601,negative,canonical,-0.02601,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,1.0,39.4468,0,,GPT-4o,gpt-4o
s12,EVENT_STUDY,-0.025,negative,-0.02601,negative,canonical,-0.02601,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.0485,0.8647,0,,o3,o3
s12,EVENT_STUDY,-0.025,negative,-0.02601,negative,canonical,-0.02601,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.1947,6.4856,0,,Opus,claude-opus-4-6
s12,EVENT_STUDY,-0.025,negative,-0.02601,negative,canonical,-0.02601,negative,audit/dgp_verification.json,1,VERIFIED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s12,EVENT_STUDY,-0.025,negative,-0.02601,negative,canonical,-0.02601,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,1.0,39.4468,0,,GPT-5,gpt-5
s13,EVENT_STUDY,-0.018,negative,-0.017892,negative,canonical,-0.017892,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.03288083,0.8377,0,,Kimi,moonshot-v1-128k
s13,EVENT_STUDY,-0.018,negative,-0.017892,negative,canonical,-0.017892,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.051197,1.8614,0,,Sonnet,claude-sonnet-4-20250514
s13,EVENT_STUDY,-0.018,negative,-0.017892,negative,canonical,-0.017892,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.0328808284675,0.8377,0,,GPT-4o,gpt-4o
s13,EVENT_STUDY,-0.018,negative,-0.017892,negative,canonical,-0.017892,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-1.0,54.8909,0,,o3,o3
s13,EVENT_STUDY,-0.018,negative,-0.017892,negative,canonical,-0.017892,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-1.0,54.8909,0,,Opus,claude-opus-4-6
s13,EVENT_STUDY,-0.018,negative,-0.017892,negative,canonical,-0.017892,negative,audit/dgp_verification.json,1,VERIFIED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s13,EVENT_STUDY,-0.018,negative,-0.017892,negative,canonical,-0.017892,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in `$<-.data.frame`(`*tmp*`, AR, value = numeric(0)) : 
  replacement has 0 rows, data has 240
Calls: suppressMessages -> withCallingHandlers -> $<- -> $<-.data.frame
Execution halted",GPT-5,gpt-5
s14,EVENT_STUDY,0.022,positive,0.022646,positive,canonical,0.022646,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,1.0,43.1579,0,,Kimi,moonshot-v1-128k
s14,EVENT_STUDY,0.022,positive,0.022646,positive,canonical,0.022646,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.0665,1.9365,0,,Sonnet,claude-sonnet-4-20250514
s14,EVENT_STUDY,0.022,positive,0.022646,positive,canonical,0.022646,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.06113154,1.6994,0,,GPT-4o,gpt-4o
s14,EVENT_STUDY,0.022,positive,0.022646,positive,canonical,0.022646,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.0665,1.9365,0,,o3,o3
s14,EVENT_STUDY,0.022,positive,0.022646,positive,canonical,0.022646,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.3943,16.4115,0,,Opus,claude-opus-4-6
s14,EVENT_STUDY,0.022,positive,0.022646,positive,canonical,0.022646,positive,audit/dgp_verification.json,1,VERIFIED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s14,EVENT_STUDY,0.022,positive,0.022646,positive,canonical,0.022646,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,1.0,43.1579,0,,GPT-5,gpt-5
s15,EVENT_STUDY,0.03,positive,0.029133,positive,canonical,0.029133,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in bptest(lm(aar$mean_AR ~ 1), data = aar) : 
  the auxiliary variance regression requires at least an intercept and a regressor
Calls: suppressMessages -> withCallingHandlers -> bptest
Executio",Kimi,moonshot-v1-128k
s15,EVENT_STUDY,0.03,positive,0.029133,positive,canonical,0.029133,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.1196,3.1053,0,,Sonnet,claude-sonnet-4-20250514
s15,EVENT_STUDY,0.03,positive,0.029133,positive,canonical,0.029133,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"  4. ├─dplyr::mutate(...)
  5. ├─dplyr:::mutate.data.frame(...)
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",GPT-4o,gpt-4o
s15,EVENT_STUDY,0.03,positive,0.029133,positive,canonical,0.029133,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"::mutate.data.frame(., ab_ret = ret - (alpha + beta * mkt_ret))
 10. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
 11. │   ├─base::withCallingHandlers(...)
 12. │   └─dplyr:::mutate_col(dot",o3,o3
s15,EVENT_STUDY,0.03,positive,0.029133,positive,canonical,0.029133,positive,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.0056,1.1922,0,,Opus,claude-opus-4-6
s15,EVENT_STUDY,0.03,positive,0.029133,positive,canonical,0.029133,positive,audit/dgp_verification.json,1,VERIFIED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s15,EVENT_STUDY,0.03,positive,0.029133,positive,canonical,0.029133,positive,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in params[, ""alpha_hat""] : subscript out of bounds
Calls: suppressMessages -> withCallingHandlers -> data.frame
Execution halted",GPT-5,gpt-5
s16,EVENT_STUDY,-0.028,negative,-0.026697,negative,canonical,-0.026697,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in library(quantmod) : there is no package called ‘quantmod’
Calls: suppressMessages -> withCallingHandlers -> library
Execution halted",Kimi,moonshot-v1-128k
s16,EVENT_STUDY,-0.028,negative,-0.026697,negative,canonical,-0.026697,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.1063,2.9817,0,,Sonnet,claude-sonnet-4-20250514
s16,EVENT_STUDY,-0.028,negative,-0.026697,negative,canonical,-0.026697,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,0.04666,2.7478,0,,GPT-4o,gpt-4o
s16,EVENT_STUDY,-0.028,negative,-0.026697,negative,canonical,-0.026697,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in withCallingHandlers(expr, message = function(c) if (inherits(c,  : 
  No chip-dependency variable found in the dataset.
Calls: suppressMessages -> withCallingHandlers
Execution halted",o3,o3
s16,EVENT_STUDY,-0.028,negative,-0.026697,negative,canonical,-0.026697,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.161988,5.0676,0,,Opus,claude-opus-4-6
s16,EVENT_STUDY,-0.028,negative,-0.026697,negative,canonical,-0.026697,negative,audit/dgp_verification.json,1,VERIFIED,1,0,0,,,0,,Gemini,gemini-2.5-flash
s16,EVENT_STUDY,-0.028,negative,-0.026697,negative,canonical,-0.026697,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"Error in withCallingHandlers(expr, message = function(c) if (inherits(c,  : 
  No chip dependency variable found. Expected a column containing 'chip' (e.g., 'chip_dep').
Calls: suppressMessages -> wit",GPT-5,gpt-5
s17,EVENT_STUDY,-0.035,negative,-0.035,negative,canonical,-0.035,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"base::withCallingHandlers(...)
  9. │   └─dplyr:::map(quosures, summarise_eval_one, mask = mask)
 10. │     └─base::lapply(.x, .f, ...)
 11. │       └─dplyr (local) FUN(X[[i]], ...)
 12. │         └─m",Kimi,moonshot-v1-128k
s17,EVENT_STUDY,-0.035,negative,-0.035,negative,canonical,-0.035,negative,audit/dgp_verification.json,1,VERIFIED,1,1,1,-0.0716,1.0457,0,,Sonnet,claude-sonnet-4-20250514
s17,EVENT_STUDY,-0.035,negative,-0.035,negative,canonical,-0.035,negative,audit/dgp_verification.json,1,VERIFIED,1,1,0,,,0,"lyr:::mutate.data.frame(., AR = ret - (alpha + beta * mkt_ret))
  6. │ └─dplyr:::mutate_cols(.data, dplyr_quosures(...), by)
  7. │   ├─base::withCallingHandlers(...)
  8. │   └─dplyr:::mutate_col(dot",GPT-4o,gpt-4o
