paper_id,method,difficulty,model,gt_direction,S1_latter_half_pred,S1_latter_half_match,S2_section6_pred,S2_section6_match,S3_llm_judge_pred,S3_llm_judge_match,S4_structured_pred,S4_structured_match
paper_19,RDD,easy,o3,positive,positive,1,positive,1,positive,1,positive,1
paper_19,RDD,easy,Opus,positive,negative,0,positive,1,positive,1,unstated,0
paper_19,RDD,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_20,RDD,medium,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_20,RDD,medium,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_20,RDD,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_20,RDD,medium,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_20,RDD,medium,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_20,RDD,medium,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_21,IV,medium,Kimi,negative,positive,0,positive,0,negative,1,positive,0
paper_21,IV,medium,Sonnet,negative,positive,0,positive,0,negative,1,unstated,0
paper_21,IV,medium,GPT-4o,negative,positive,0,positive,0,positive,0,positive,0
paper_21,IV,medium,o3,negative,negative,1,negative,1,positive,0,unstated,0
paper_21,IV,medium,Opus,negative,positive,0,positive,0,negative,1,unstated,0
paper_21,IV,medium,Gemini,negative,positive,0,positive,0,positive,0,positive,0
paper_22,DID,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_22,DID,easy,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_22,DID,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_22,DID,easy,o3,positive,positive,1,positive,1,positive,1,positive,1
paper_22,DID,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_22,DID,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_23,DID,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_23,DID,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_23,DID,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_23,DID,easy,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_23,DID,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_23,DID,easy,Gemini,positive,negative,0,positive,1,positive,1,unstated,0
paper_24,DID,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_24,DID,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_24,DID,easy,GPT-4o,positive,negative,0,negative,0,positive,1,positive,1
paper_24,DID,easy,o3,positive,negative,0,negative,0,negative,0,positive,1
paper_24,DID,easy,Opus,positive,negative,0,negative,0,positive,1,unstated,0
paper_24,DID,easy,Gemini,positive,positive,1,positive,1,positive,1,positive,1
paper_25,DID,medium,Kimi,negative,,0,,0,negative,1,negative,1
paper_25,DID,medium,Sonnet,negative,positive,0,positive,0,negative,1,unstated,0
paper_25,DID,medium,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_25,DID,medium,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_25,DID,medium,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_25,DID,medium,Gemini,negative,negative,1,,0,negative,1,unstated,0
paper_26,DID,hard,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_26,DID,hard,Sonnet,negative,negative,1,negative,1,negative,1,unstated,0
paper_26,DID,hard,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_26,DID,hard,o3,negative,negative,1,negative,1,negative,1,negative,1
paper_26,DID,hard,Opus,negative,negative,1,negative,1,negative,1,negative,1
paper_26,DID,hard,Gemini,negative,negative,1,positive,0,negative,1,unstated,0
paper_27,EVENT_STUDY,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_27,EVENT_STUDY,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_27,EVENT_STUDY,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_27,EVENT_STUDY,easy,o3,positive,,0,,0,positive,1,unstated,0
paper_27,EVENT_STUDY,easy,Opus,positive,positive,1,positive,1,positive,1,positive,1
paper_27,EVENT_STUDY,easy,Gemini,positive,positive,1,positive,1,positive,1,positive,1
paper_28,EVENT_STUDY,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_28,EVENT_STUDY,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_28,EVENT_STUDY,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_28,EVENT_STUDY,easy,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_28,EVENT_STUDY,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_28,EVENT_STUDY,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_29,EVENT_STUDY,medium,Kimi,positive,positive,1,positive,1,mixed,0,positive,1
paper_29,EVENT_STUDY,medium,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_29,EVENT_STUDY,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_29,EVENT_STUDY,medium,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_29,EVENT_STUDY,medium,Opus,positive,negative,0,positive,1,positive,1,unstated,0
paper_29,EVENT_STUDY,medium,Gemini,positive,positive,1,positive,1,positive,1,positive,1
paper_30,EVENT_STUDY,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_30,EVENT_STUDY,hard,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_30,EVENT_STUDY,hard,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_30,EVENT_STUDY,hard,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_30,EVENT_STUDY,hard,Opus,positive,positive,1,positive,1,positive,1,positive,1
paper_30,EVENT_STUDY,hard,Gemini,positive,positive,1,positive,1,positive,1,negative,0
paper_31,IV,easy,Kimi,positive,positive,1,positive,1,negative,0,mixed,0
paper_31,IV,easy,Sonnet,positive,negative,0,negative,0,negative,0,mixed,0
paper_31,IV,easy,GPT-4o,positive,negative,0,negative,0,negative,0,negative,0
paper_31,IV,easy,o3,positive,negative,0,negative,0,negative,0,unstated,0
paper_31,IV,easy,Opus,positive,negative,0,positive,1,negative,0,mixed,0
paper_31,IV,easy,Gemini,positive,positive,1,positive,1,negative,0,mixed,0
paper_32,IV,medium,Kimi,negative,positive,0,positive,0,positive,0,positive,0
paper_32,IV,medium,Sonnet,negative,negative,1,negative,1,negative,1,mixed,0
paper_32,IV,medium,GPT-4o,negative,positive,0,positive,0,positive,0,positive,0
paper_32,IV,medium,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_32,IV,medium,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_32,IV,medium,Gemini,negative,positive,0,positive,0,negative,1,unstated,0
paper_33,RDD,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_33,RDD,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_33,RDD,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_33,RDD,easy,o3,positive,positive,1,positive,1,mixed,0,unstated,0
paper_33,RDD,easy,Opus,positive,negative,0,negative,0,mixed,0,unstated,0
paper_33,RDD,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_34,RDD,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_34,RDD,easy,Sonnet,positive,negative,0,negative,0,positive,1,positive,1
paper_34,RDD,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_34,RDD,easy,o3,positive,negative,0,negative,0,negative,0,unstated,0
paper_34,RDD,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_34,RDD,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_35,RDD,medium,Kimi,positive,positive,1,positive,1,positive,1,negative,0
paper_35,RDD,medium,Sonnet,positive,positive,1,positive,1,negative,0,positive,1
paper_35,RDD,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_35,RDD,medium,o3,positive,positive,1,positive,1,positive,1,positive,1
paper_35,RDD,medium,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_35,RDD,medium,Gemini,positive,positive,1,positive,1,positive,1,positive,1
paper_36,DID,easy,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_36,DID,easy,Sonnet,negative,negative,1,negative,1,negative,1,negative,1
paper_36,DID,easy,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_36,DID,easy,o3,negative,negative,1,positive,0,negative,1,unstated,0
paper_36,DID,easy,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_36,DID,easy,Gemini,negative,negative,1,negative,1,negative,1,negative,1
paper_37,DID,medium,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_37,DID,medium,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_37,DID,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_37,DID,medium,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_37,DID,medium,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_37,DID,medium,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_38,IV,medium,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_38,IV,medium,Sonnet,negative,negative,1,negative,1,negative,1,unstated,0
paper_38,IV,medium,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_38,IV,medium,o3,negative,negative,1,negative,1,negative,1,negative,1
paper_38,IV,medium,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_38,IV,medium,Gemini,negative,negative,1,positive,0,negative,1,unstated,0
paper_39,DID,hard,Kimi,negative,negative,1,negative,1,negative,1,mixed,0
paper_39,DID,hard,Sonnet,negative,positive,0,positive,0,negative,1,unstated,0
paper_39,DID,hard,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_39,DID,hard,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_39,DID,hard,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_39,DID,hard,Gemini,negative,positive,0,positive,0,negative,1,unstated,0
paper_40,EVENT_STUDY,easy,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_40,EVENT_STUDY,easy,Sonnet,negative,negative,1,negative,1,negative,1,negative,1
paper_40,EVENT_STUDY,easy,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_40,EVENT_STUDY,easy,o3,negative,negative,1,negative,1,negative,1,negative,1
paper_40,EVENT_STUDY,easy,Opus,negative,negative,1,negative,1,negative,1,negative,1
paper_40,EVENT_STUDY,easy,Gemini,negative,negative,1,negative,1,negative,1,unstated,0
paper_41,EVENT_STUDY,medium,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_41,EVENT_STUDY,medium,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_41,EVENT_STUDY,medium,GPT-4o,positive,negative,0,negative,0,positive,1,positive,1
paper_41,EVENT_STUDY,medium,o3,positive,negative,0,negative,0,positive,1,positive,1
paper_41,EVENT_STUDY,medium,Opus,positive,positive,1,positive,1,positive,1,positive,1
paper_41,EVENT_STUDY,medium,Gemini,positive,,0,,0,positive,1,unstated,0
paper_42,DID,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_42,DID,hard,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_42,DID,hard,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_42,DID,hard,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_42,DID,hard,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_42,DID,hard,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_43,IV,medium,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_43,IV,medium,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_43,IV,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_43,IV,medium,o3,positive,,0,,0,positive,1,unstated,0
paper_43,IV,medium,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_43,IV,medium,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_44,RDD,hard,Kimi,negative,positive,0,positive,0,negative,1,positive,0
paper_44,RDD,hard,Sonnet,negative,positive,0,positive,0,negative,1,negative,1
paper_44,RDD,hard,GPT-4o,negative,positive,0,positive,0,negative,1,positive,0
paper_44,RDD,hard,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_44,RDD,hard,Opus,negative,negative,1,positive,0,positive,0,unstated,0
paper_44,RDD,hard,Gemini,negative,positive,0,negative,1,positive,0,unstated,0
paper_45,RDD,hard,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_45,RDD,hard,Sonnet,negative,negative,1,negative,1,negative,1,negative,1
paper_45,RDD,hard,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_45,RDD,hard,o3,negative,negative,1,negative,1,negative,1,unstated,0
paper_45,RDD,hard,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_45,RDD,hard,Gemini,negative,negative,1,negative,1,negative,1,unstated,0
paper_46,RDD,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_46,RDD,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_46,RDD,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_46,RDD,easy,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_46,RDD,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_46,RDD,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_47,IV,hard,Kimi,negative,positive,0,positive,0,positive,0,positive,0
paper_47,IV,hard,Sonnet,negative,positive,0,positive,0,positive,0,unstated,0
paper_47,IV,hard,GPT-4o,negative,positive,0,positive,0,positive,0,positive,0
paper_47,IV,hard,o3,negative,positive,0,positive,0,positive,0,unstated,0
paper_47,IV,hard,Opus,negative,positive,0,negative,1,mixed,0,unstated,0
paper_47,IV,hard,Gemini,negative,positive,0,positive,0,positive,0,unstated,0
paper_48,IV,easy,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_48,IV,easy,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_48,IV,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_48,IV,easy,o3,positive,positive,1,positive,1,positive,1,positive,1
paper_48,IV,easy,Opus,positive,negative,0,positive,1,positive,1,positive,1
paper_48,IV,easy,Gemini,positive,positive,1,positive,1,positive,1,positive,1
paper_49,RDD,medium,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_49,RDD,medium,Sonnet,positive,negative,0,positive,1,positive,1,positive,1
paper_49,RDD,medium,GPT-4o,positive,negative,0,positive,1,positive,1,positive,1
paper_49,RDD,medium,o3,positive,negative,0,positive,1,positive,1,positive,1
paper_49,RDD,medium,Opus,positive,negative,0,positive,1,positive,1,unstated,0
paper_49,RDD,medium,Gemini,positive,negative,0,positive,1,positive,1,unstated,0
paper_50,DID,medium,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_50,DID,medium,Sonnet,positive,negative,0,negative,0,positive,1,unstated,0
paper_50,DID,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_50,DID,medium,o3,positive,negative,0,negative,0,positive,1,unstated,0
paper_50,DID,medium,Opus,positive,positive,1,negative,0,positive,1,negative,0
paper_50,DID,medium,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_51,IV,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_51,IV,hard,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_51,IV,hard,GPT-4o,positive,positive,1,positive,1,mixed,0,mixed,0
paper_51,IV,hard,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_51,IV,hard,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_51,IV,hard,Gemini,positive,negative,0,positive,1,positive,1,unstated,0
paper_52,RDD,medium,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_52,RDD,medium,Sonnet,negative,negative,1,negative,1,negative,1,unstated,0
paper_52,RDD,medium,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_52,RDD,medium,o3,negative,,0,,0,negative,1,negative,1
paper_52,RDD,medium,Opus,negative,negative,1,negative,1,negative,1,negative,1
paper_52,RDD,medium,Gemini,negative,negative,1,negative,1,negative,1,negative,1
paper_53,EVENT_STUDY,hard,Kimi,positive,positive,1,positive,1,positive,1,positive,1
paper_53,EVENT_STUDY,hard,Sonnet,positive,positive,1,positive,1,positive,1,positive,1
paper_53,EVENT_STUDY,hard,GPT-4o,positive,positive,1,positive,1,positive,1,mixed,0
paper_53,EVENT_STUDY,hard,o3,positive,positive,1,positive,1,positive,1,positive,1
paper_53,EVENT_STUDY,hard,Opus,positive,positive,1,positive,1,positive,1,positive,1
paper_53,EVENT_STUDY,hard,Gemini,positive,positive,1,,0,positive,1,positive,1
paper_54,DID,easy,Kimi,positive,negative,0,positive,1,positive,1,positive,1
paper_54,DID,easy,Sonnet,positive,positive,1,positive,1,positive,1,unstated,0
paper_54,DID,easy,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_54,DID,easy,o3,positive,positive,1,positive,1,positive,1,unstated,0
paper_54,DID,easy,Opus,positive,positive,1,positive,1,positive,1,unstated,0
paper_54,DID,easy,Gemini,positive,positive,1,positive,1,positive,1,unstated,0
paper_55,IV,hard,Kimi,negative,negative,1,negative,1,negative,1,negative,1
paper_55,IV,hard,Sonnet,negative,positive,0,positive,0,negative,1,unstated,0
paper_55,IV,hard,GPT-4o,negative,negative,1,negative,1,negative,1,negative,1
paper_55,IV,hard,o3,negative,negative,1,,0,negative,1,unstated,0
paper_55,IV,hard,Opus,negative,negative,1,negative,1,negative,1,unstated,0
paper_55,IV,hard,Gemini,negative,negative,1,negative,1,negative,1,unstated,0
paper_56,DID,medium,Kimi,positive,,0,,0,mixed,0,mixed,0
paper_56,DID,medium,Sonnet,positive,positive,1,positive,1,positive,1,mixed,0
paper_56,DID,medium,GPT-4o,positive,positive,1,positive,1,positive,1,positive,1
paper_56,DID,medium,o3,positive,positive,1,positive,1,positive,1,unstated,0
