paper_id,method,orig_method,difficulty,gt_m_level,gt_d_level,needs_human,L3_scoreable,L4_scoreable,Kimi-128k_L3_method_agree,Kimi-128k_L4_direction_agree,Kimi-128k_L3a,Kimi-128k_L3b,Kimi-128k_detected,Kimi-128k_direction,Claude-Sonnet_L3_method_agree,Claude-Sonnet_L4_direction_agree,Claude-Sonnet_L3a,Claude-Sonnet_L3b,Claude-Sonnet_detected,Claude-Sonnet_direction,GPT-4o_L3_method_agree,GPT-4o_L4_direction_agree,GPT-4o_L3a,GPT-4o_L3b,GPT-4o_detected,GPT-4o_direction,o3_L3_method_agree,o3_L4_direction_agree,o3_L3a,o3_L3b,o3_detected,o3_direction,Claude-Opus_L3_method_agree,Claude-Opus_L4_direction_agree,Claude-Opus_L3a,Claude-Opus_L3b,Claude-Opus_detected,Claude-Opus_direction,Gemini-2.5_L3_method_agree,Gemini-2.5_L4_direction_agree,Gemini-2.5_L3a,Gemini-2.5_L3b,Gemini-2.5_detected,Gemini-2.5_direction,GPT-5_L3_method_agree,GPT-5_L4_direction_agree,GPT-5_L3a,GPT-5_L3b,GPT-5_detected,GPT-5_direction
paper_12,EVENT_STUDY,EVENT_STUDY,hard,all4_agree,2of4_plurality,0,1,0,1,0,1,0,EVENT_STUDY,,1,0,1,0,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,negative,0,0,0,0,RDD,positive,1,0,1,0,EVENT_STUDY,positive
paper_13,OTHER,EVENT_STUDY,hard,2of4_plurality,split,1,0,0,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive
paper_14,DID,DID,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_15,DID,DID,medium,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,negative,0,0,0,0,RDD,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_16,DID,DID,hard,3of4_agree,3of4_agree,0,1,1,1,0,1,0,DID,positive,0,0,0,0,IV,positive,0,1,0,1,IV,negative,1,1,1,1,DID,negative,0,0,0,0,IV,positive,0,1,0,1,IV,negative,1,1,1,1,DID,negative
paper_17,IV,IV,easy,all4_agree,2of4_plurality,0,1,1,1,0,1,0,IV,negative,1,1,1,1,IV,positive,1,0,1,0,IV,negative,1,0,1,0,IV,negative,1,0,1,0,IV,negative,1,0,1,0,IV,negative,1,0,1,0,IV,negative
paper_18,IV,IV,hard,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,0,1,0,IV,negative,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive
paper_19,RDD,RDD,easy,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive
paper_20,RDD,RDD,medium,all4_agree,3of4_agree,0,1,1,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive
paper_21,UNSCORED,IV,medium,2of4_tie,split,1,0,0,0,0,0,0,RDD,negative,0,0,0,0,RDD,positive,0,0,0,0,RDD,negative,0,0,0,0,IV,negative,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,IV,negative
paper_22,DID,DID,easy,all4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive
paper_23,DID,DID,easy,all4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_24,DID,DID,easy,3of4_agree,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,0,0,0,0,IV,negative,0,0,0,0,IV,positive,1,0,1,0,DID,positive,0,0,0,0,IV,negative
paper_25,DID,DID,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,negative,0,0,0,0,IV,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,IV,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_26,DID,DID,hard,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,0,0,0,0,IV,positive
paper_27,EVENT_STUDY,EVENT_STUDY,easy,all4_agree,2of4_plurality,0,1,0,0,0,0,0,DID,negative,0,0,0,0,DID,negative,1,0,1,0,EVENT_STUDY,positive,0,0,0,0,DID,negative,1,0,1,0,EVENT_STUDY,negative,0,0,0,0,DID,negative,0,0,0,0,DID,negative
paper_28,EVENT_STUDY,EVENT_STUDY,easy,all4_agree,3of4_agree,0,1,1,1,1,1,1,EVENT_STUDY,positive,0,1,0,1,DID,positive,1,1,1,1,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,,0,1,0,1,DID,positive,1,1,1,1,EVENT_STUDY,positive,1,1,1,1,EVENT_STUDY,positive
paper_29,EVENT_STUDY,EVENT_STUDY,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,EVENT_STUDY,positive,0,1,0,1,DID,positive,1,1,1,1,EVENT_STUDY,positive,0,1,0,1,DID,positive,1,0,1,0,EVENT_STUDY,negative,0,1,0,1,DID,positive,0,1,0,1,DID,positive
paper_30,UNSCORED,EVENT_STUDY,hard,2of4_tie,2of4_plurality,1,0,1,0,1,0,1,DID,positive,0,1,0,1,DID,positive,0,1,0,1,DID,positive,0,1,0,1,DID,positive,0,1,0,1,EVENT_STUDY,positive,0,1,0,1,,positive,0,1,0,1,DID,positive
paper_31,EVENT_STUDY,IV,easy,3of4_agree,2of4_plurality,0,1,1,0,1,0,1,DID,negative,1,1,1,1,EVENT_STUDY,negative,1,1,1,1,EVENT_STUDY,negative,1,1,1,1,EVENT_STUDY,negative,0,0,0,0,DID,positive,1,1,1,1,EVENT_STUDY,negative,0,1,0,1,DID,negative
paper_32,IV,IV,medium,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,IV,negative,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,negative,1,0,1,0,IV,positive,1,0,1,0,IV,positive,0,0,0,0,DID,positive
paper_33,RDD,RDD,easy,3of4_agree,split,1,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive
paper_34,UNSCORED,RDD,easy,2of4_tie,2of4_plurality,1,0,0,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,negative,0,0,0,0,RDD,positive,0,0,0,0,EVENT_STUDY,positive
paper_35,RDD,RDD,medium,3of4_agree,2of4_plurality,0,1,1,1,0,1,0,RDD,negative,1,1,1,1,RDD,positive,1,0,1,0,RDD,negative,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive
paper_36,OTHER,DID,easy,2of4_plurality,2of4_plurality,0,0,1,0,1,0,1,DID,negative,0,1,0,1,,negative,0,1,0,1,RDD,negative,0,1,0,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,RDD,negative,0,0,0,0,,positive
paper_37,DID,DID,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_38,IV,IV,medium,all4_agree,2of4_plurality,0,1,0,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,RDD,negative,1,0,1,0,IV,positive,1,0,1,0,IV,positive
paper_39,OTHER,DID,hard,3of4_agree,2of4_plurality,0,0,0,0,0,0,0,DID,negative,0,0,0,0,IV,negative,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,IV,negative,0,0,0,0,IV,negative,0,0,0,0,EVENT_STUDY,negative
paper_40,UNSCORED,EVENT_STUDY,easy,split,2of4_plurality,1,0,1,0,1,0,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,RDD,negative,0,0,0,0,DID,,0,1,0,1,EVENT_STUDY,negative
paper_41,OTHER,EVENT_STUDY,medium,2of4_plurality,2of4_plurality,0,0,0,0,0,0,0,DID,positive,0,0,0,0,,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive
paper_42,DID,DID,hard,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,0,1,0,1,EVENT_STUDY,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive,1,1,1,1,DID,positive
paper_43,IV,IV,medium,all4_agree,2of4_plurality,0,1,1,0,1,0,1,DID,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive
paper_44,RDD,RDD,hard,all4_agree,2of4_plurality,0,1,1,1,0,1,0,RDD,,1,1,1,1,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,negative,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,0,0,0,0,IV,negative
paper_45,RDD,RDD,hard,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,RDD,negative,1,1,1,1,RDD,negative,1,1,1,1,RDD,negative,1,1,1,1,RDD,negative,1,1,1,1,RDD,negative,1,1,1,1,RDD,negative,1,1,1,1,RDD,negative
paper_46,RDD,RDD,easy,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive,1,1,1,1,RDD,positive
paper_47,IV,IV,hard,2of4_plurality,split,1,1,0,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive
paper_48,IV,IV,easy,2of4_plurality,2of4_plurality,0,1,1,0,1,0,1,DID,positive,0,1,0,1,RDD,positive,0,1,0,1,RDD,positive,1,0,1,0,IV,,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive
paper_49,RDD,RDD,medium,3of4_agree,split,1,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive
paper_50,DID,DID,medium,3of4_agree,2of4_plurality,0,1,1,1,0,1,0,DID,,1,1,1,1,DID,negative,1,0,1,0,DID,positive,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,0,1,0,DID,positive
paper_51,IV,IV,hard,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,positive
paper_52,DID,RDD,medium,2of4_plurality,2of4_plurality,0,1,1,1,1,1,1,DID,negative,0,1,0,1,,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,0,1,0,1,,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative
paper_53,UNSCORED,EVENT_STUDY,hard,split,2of4_plurality,1,0,1,0,1,0,1,DID,positive,0,1,0,1,IV,positive,0,1,0,1,IV,positive,0,1,0,1,EVENT_STUDY,positive,0,1,0,1,EVENT_STUDY,positive,0,0,0,0,IV,,0,1,0,1,IV,positive
paper_54,OTHER,DID,easy,2of4_plurality,2of4_plurality,0,0,1,0,1,0,1,DID,positive,0,1,0,1,DID,positive,0,1,0,1,DID,positive,0,1,0,1,DID,positive,0,1,0,1,,positive,0,1,0,1,RDD,positive,0,1,0,1,DID,positive
paper_55,IV,IV,hard,2of4_plurality,split,1,1,0,0,0,0,0,DID,negative,1,0,1,0,IV,positive,1,0,1,0,IV,positive,1,0,1,0,IV,negative,0,0,0,0,RDD,negative,1,0,1,0,IV,negative,1,0,1,0,IV,positive
paper_56,UNSCORED,DID,medium,split,split,1,0,0,0,0,0,0,RDD,,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,IV,positive,0,0,0,0,IV,negative,0,0,0,0,RDD,,0,0,0,0,IV,positive
paper_57,DID,RDD,medium,2of4_plurality,2of4_plurality,0,1,0,1,0,1,0,DID,positive,0,0,0,0,IV,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,EVENT_STUDY,positive
paper_58,DID,DID,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive
paper_59,DID,DID,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,0,0,0,0,EVENT_STUDY,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_60,DID,DID,hard,3of4_agree,split,1,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_61,DID,DID,medium,2of4_plurality,split,1,1,0,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,positive
paper_62,EVENT_STUDY,EVENT_STUDY,easy,2of4_plurality,split,1,1,0,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,1,0,1,0,EVENT_STUDY,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive
paper_63,EVENT_STUDY,EVENT_STUDY,medium,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,,0,0,0,0,IV,positive,1,0,1,0,EVENT_STUDY,negative,0,0,0,0,DID,positive,0,0,0,0,IV,negative
paper_64,DID,EVENT_STUDY,hard,2of4_plurality,split,1,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,IV,negative,0,0,0,0,IV,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative
paper_65,EVENT_STUDY,EVENT_STUDY,easy,3of4_agree,split,1,1,0,0,0,0,0,DID,negative,0,0,0,0,DID,positive,1,0,1,0,EVENT_STUDY,negative,1,0,1,0,EVENT_STUDY,positive,1,0,1,0,EVENT_STUDY,positive,0,0,0,0,DID,positive,1,0,1,0,EVENT_STUDY,positive
paper_66,OTHER,IV,medium,3of4_agree,2of4_plurality,0,0,0,0,0,0,0,IV,,0,0,0,0,IV,negative,0,0,0,0,IV,negative,0,0,0,0,DID,positive,0,0,0,0,IV,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,,positive
paper_67,OTHER,IV,hard,2of4_plurality,split,1,0,0,0,0,0,0,DID,,0,0,0,0,DID,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,IV,positive
paper_68,IV,IV,medium,2of4_plurality,2of4_plurality,0,1,1,0,1,0,1,DID,positive,1,1,1,1,IV,positive,0,1,0,1,DID,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,1,1,1,IV,positive
paper_69,RDD,RDD,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,negative,1,0,1,0,RDD,negative,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive
paper_70,RDD,RDD,medium,2of4_plurality,split,1,1,0,0,0,0,0,DID,negative,0,0,0,0,DID,negative,0,0,0,0,DID,positive,0,0,0,0,DID,negative,1,0,1,0,RDD,negative,0,0,0,0,EVENT_STUDY,negative,1,0,1,0,RDD,negative
paper_71,RDD,RDD,hard,3of4_agree,3of4_agree,0,1,1,1,1,1,1,RDD,negative,0,1,0,1,IV,negative,1,1,1,1,RDD,negative,1,1,1,1,RDD,negative,0,1,0,1,IV,negative,1,1,1,1,RDD,negative,1,0,1,0,RDD,positive
paper_72,DID,DID,easy,all4_agree,2of4_plurality,0,1,1,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive
paper_73,OTHER,DID,medium,3of4_agree,2of4_plurality,0,0,0,0,0,0,0,DID,positive,0,0,0,0,RDD,positive,0,0,0,0,DID,positive,0,0,0,0,DID,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive,0,0,0,0,RDD,positive
paper_74,DID,DID,hard,2of4_plurality,split,1,1,0,1,0,1,0,DID,positive,0,0,0,0,IV,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,IV,negative,0,0,0,0,IV,positive,1,0,1,0,DID,,0,0,0,0,IV,positive
paper_75,DID,DID,medium,all4_agree,2of4_plurality,0,1,0,1,0,1,0,DID,,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,negative,0,0,0,0,EVENT_STUDY,positive
paper_76,DID,EVENT_STUDY,easy,3of4_agree,3of4_agree,0,1,1,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,1,1,1,DID,negative,1,0,1,0,DID,,1,1,1,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,IV,negative
paper_77,UNSCORED,EVENT_STUDY,medium,2of4_tie,3of4_agree,1,0,1,0,1,0,1,DID,negative,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,EVENT_STUDY,negative,0,0,0,0,DID,positive,0,1,0,1,EVENT_STUDY,negative,0,1,0,1,DID,negative,0,1,0,1,EVENT_STUDY,negative
paper_78,UNSCORED,EVENT_STUDY,hard,2of4_tie,2of4_plurality,1,0,0,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,DID,positive,0,0,0,0,EVENT_STUDY,positive,0,0,0,0,DID,positive
paper_79,IV,IV,easy,3of4_agree,2of4_plurality,0,1,0,1,0,1,0,IV,negative,0,0,0,0,RDD,negative,1,0,1,0,IV,negative,1,0,1,0,IV,negative,1,0,1,0,IV,negative,1,0,1,0,IV,negative,1,0,1,0,IV,negative
paper_80,IV,IV,medium,3of4_agree,2of4_plurality,0,1,1,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,0,1,0,IV,negative,1,1,1,1,IV,positive,1,1,1,1,IV,positive,1,0,1,0,IV,negative,1,1,1,1,IV,positive
paper_81,UNSCORED,IV,hard,2of4_tie,2of4_plurality,1,0,0,0,0,0,0,DID,positive,0,0,0,0,RDD,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,IV,positive,0,0,0,0,DID,positive,0,0,0,0,IV,positive
paper_82,DID,IV,medium,3of4_agree,3of4_agree,0,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,IV,negative,1,0,1,0,DID,positive,0,0,0,0,IV,positive
paper_83,RDD,RDD,easy,2of4_plurality,2of4_plurality,0,1,0,0,0,0,0,DID,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive
paper_84,RDD,RDD,medium,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative
paper_85,RDD,RDD,hard,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,negative,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive,1,0,1,0,RDD,negative,1,0,1,0,RDD,negative,1,0,1,0,RDD,positive,0,0,0,0,EVENT_STUDY,negative
paper_86,RDD,RDD,easy,all4_agree,2of4_plurality,0,1,0,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,0,0,0,0,DID,positive,1,0,1,0,RDD,positive,1,0,1,0,RDD,positive,0,0,0,0,DID,positive
paper_87,OTHER,DID,easy,3of4_agree,3of4_agree,0,0,0,0,0,0,0,DID,,0,0,0,0,,positive,0,0,0,0,RDD,positive,0,0,0,0,,,0,0,0,0,,negative,0,0,0,0,RDD,positive,0,0,0,0,EVENT_STUDY,positive
paper_88,DID,DID,medium,all4_agree,split,1,1,0,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,positive,1,0,1,0,DID,negative,1,0,1,0,DID,positive,1,0,1,0,DID,positive,0,0,0,0,IV,negative
paper_89,DID,DID,hard,all4_agree,2of4_plurality,0,1,1,1,1,1,1,DID,positive,0,1,0,1,IV,positive,1,1,1,1,DID,positive,1,0,1,0,DID,negative,1,1,1,1,DID,positive,1,1,1,1,DID,positive,0,1,0,1,EVENT_STUDY,positive
paper_90,UNSCORED,EVENT_STUDY,easy,split,2of4_plurality,1,0,1,0,1,0,1,DID,negative,0,1,0,1,DID,negative,0,0,0,0,IV,positive,0,1,0,1,IV,negative,0,1,0,1,DID,negative,0,0,0,0,IV,positive,0,1,0,1,IV,negative
